latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-3.03412,119.11314,332.46,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,301.14,22.63,D
-3.01927,119.1216,333.93,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.2,31.06,D
-3.01265,119.12052,335.45,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,295.62,16.17,D
-3.00934,119.12002,332.3,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,294.75,16.17,D
-2.9379,119.58892,340.96,0.38,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.3,3.31,D
-2.93644,119.39895,331.5,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,297.98,2.5,D
-2.7,110.37175,341.15,0.39,0.59,2026-09-25,533,N20,VIIRS,n,2.0NRT,288.31,5.65,D
-2.67369,110.3997,333.14,0.39,0.59,2026-09-25,533,N20,VIIRS,n,2.0NRT,289.14,2.07,D
-2.51493,119.4692,333.53,0.38,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.26,32.15,D
-2.49407,119.47301,337.15,0.38,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.52,4.93,D
-2.35951,119.59949,334.75,0.38,0.36,2026-09-25,533,N20,VIIRS,l,2.0NRT,305.68,3.73,D
-2.17699,115.92936,338.25,0.49,0.41,2026-09-25,533,N20,VIIRS,n,2.0NRT,296.9,6.65,D
-1.98299,116.14946,333.13,0.48,0.4,2026-09-25,533,N20,VIIRS,l,2.0NRT,303.17,90.86,D
-1.93432,113.98536,367.0,0.43,0.46,2026-09-25,533,N20,VIIRS,h,2.0NRT,302.43,22.79,D
-1.74521,116.241,334.76,0.47,0.4,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.97,5.92,D
-1.71513,113.35197,335.52,0.47,0.48,2026-09-25,533,N20,VIIRS,n,2.0NRT,287.6,4.13,D
-1.29622,119.95994,336.09,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,302.92,13.21,D
-1.22216,119.33237,335.58,0.38,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.97,1.77,D
-1.14784,119.90823,333.62,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,299.33,1.84,D
-1.14482,119.39363,334.6,0.38,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.78,1.28,D
-1.10412,117.02218,331.65,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,300.21,2.84,D
-1.10122,117.01782,331.37,0.43,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,299.21,2.84,D
-1.08971,117.07076,336.9,0.43,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.45,5.2,D
-1.04838,117.07234,336.21,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,295.76,24.84,D
-1.02882,116.92085,332.87,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,297.32,4.82,D
-1.00562,116.98009,334.35,0.43,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,295.66,4.73,D
-0.93509,117.14848,337.85,0.42,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,297.9,8.45,D
-0.92705,117.10876,340.57,0.42,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,296.66,7.78,D
-0.81229,119.88342,335.47,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.85,1.22,D
-0.77411,119.86706,338.22,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.97,2.07,D
-0.74735,117.08942,334.41,0.42,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,297.15,8.33,D
-0.66642,110.26469,334.09,0.37,0.58,2026-09-25,533,N20,VIIRS,n,2.0NRT,288.64,3.44,D
-0.66112,110.2639,344.33,0.37,0.58,2026-09-25,533,N20,VIIRS,n,2.0NRT,288.62,24.11,D
-0.6606,110.26726,336.17,0.37,0.58,2026-09-25,533,N20,VIIRS,n,2.0NRT,291.82,24.11,D
-0.66009,110.27056,356.43,0.37,0.58,2026-09-25,533,N20,VIIRS,l,2.0NRT,287.85,32.0,D
-0.59817,110.21416,331.48,0.37,0.58,2026-09-25,533,N20,VIIRS,n,2.0NRT,287.83,3.46,D
-0.59439,110.21267,349.23,0.37,0.58,2026-09-25,533,N20,VIIRS,n,2.0NRT,288.51,7.22,D
-0.59388,110.21592,353.27,0.37,0.58,2026-09-25,533,N20,VIIRS,n,2.0NRT,287.09,7.22,D
-0.56857,110.23896,342.3,0.37,0.58,2026-09-25,533,N20,VIIRS,n,2.0NRT,285.62,5.58,D
-0.46779,117.40794,333.37,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.77,5.79,D
-0.46723,117.41159,333.35,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.28,3.96,D
-0.46217,117.4445,332.76,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,297.95,2.22,D
-0.38901,116.20395,331.33,0.46,0.39,2026-09-25,533,N20,VIIRS,n,2.0NRT,295.26,3.56,D
-0.38543,116.2034,342.28,0.46,0.39,2026-09-25,533,N20,VIIRS,n,2.0NRT,296.6,3.56,D
-0.36469,116.04903,334.68,0.46,0.39,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.21,5.56,D
-0.36254,116.0537,338.24,0.46,0.39,2026-09-25,533,N20,VIIRS,n,2.0NRT,299.93,9.67,D
-0.34373,119.88441,332.2,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,295.34,4.2,D
-0.338,116.46729,347.88,0.44,0.39,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.12,7.99,D
-0.27552,116.56688,348.0,0.44,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,300.14,11.88,D
-0.24319,117.41067,332.24,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.44,4.4,D
-0.24275,116.40458,330.47,0.45,0.39,2026-09-25,533,N20,VIIRS,l,2.0NRT,304.54,6.04,D
-0.19014,116.39335,346.69,0.45,0.39,2026-09-25,533,N20,VIIRS,l,2.0NRT,297.77,7.44,D
-0.17477,116.39914,334.52,0.45,0.39,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.44,8.87,D
-0.17476,116.66317,333.73,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,304.77,6.31,D
-0.17126,116.66264,334.39,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,305.52,6.31,D
-0.1488,116.40334,330.86,0.44,0.39,2026-09-25,533,N20,VIIRS,l,2.0NRT,304.65,6.24,D
-0.07784,116.63324,346.33,0.43,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,299.97,8.62,D
-0.06532,116.35865,336.54,0.45,0.39,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.41,7.76,D
-0.04824,116.352,343.59,0.45,0.39,2026-09-25,533,N20,VIIRS,n,2.0NRT,301.04,5.2,D
-0.04763,116.35597,330.3,0.45,0.39,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.5,5.2,D
-0.03906,116.71437,337.0,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,302.55,5.86,D
-0.0276,117.42258,338.44,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.88,4.07,D
-0.00441,117.41537,336.36,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,303.27,3.36,D
-0.00386,117.419,330.03,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,303.62,3.36,D
-0.00046,117.4185,331.82,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,302.43,6.05,D
-2e-05,116.78289,334.43,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.03,7.39,D
0.00057,116.78671,353.21,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,300.18,7.39,D
0.0032,116.2634,333.36,0.45,0.39,2026-09-25,533,N20,VIIRS,l,2.0NRT,297.99,7.37,D
0.01624,117.32297,332.29,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,296.74,6.03,D
0.02603,116.79066,334.62,0.43,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.34,2.76,D
0.0295,116.79013,332.25,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.46,2.76,D
0.03297,116.78961,346.08,0.43,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.67,8.42,D
0.04309,117.40823,342.85,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.94,6.84,D
0.06478,116.7653,334.35,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,303.55,9.79,D
0.07968,116.77909,336.01,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,306.77,12.16,D
0.12475,116.3713,344.48,0.44,0.39,2026-09-25,533,N20,VIIRS,l,2.0NRT,300.42,15.09,D
0.12478,116.37096,347.32,0.44,0.39,2026-09-25,533,N20,VIIRS,l,2.0NRT,300.57,17.65,D
0.12704,116.74071,337.85,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.85,12.14,D
0.12888,116.82223,341.17,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,303.64,11.71,D
0.12993,116.73635,339.74,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.58,41.13,D
0.1375,116.78595,342.5,0.43,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.66,6.5,D
0.14382,116.73427,333.55,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.84,6.15,D
0.14441,116.73808,333.21,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,297.28,10.37,D
0.14672,116.72991,346.75,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.4,7.49,D
0.1473,116.73373,354.52,0.43,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,297.93,7.49,D
0.14961,116.72557,337.95,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,296.19,6.68,D
0.15019,116.72939,338.42,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,295.72,7.49,D
0.15367,116.72886,348.39,0.43,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,297.8,7.81,D
0.19627,116.13208,342.42,0.45,0.39,2026-09-25,533,N20,VIIRS,n,2.0NRT,297.87,4.25,D
0.19699,116.13108,334.84,0.45,0.39,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.5,2.52,D
0.20876,116.77453,331.95,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,303.12,5.95,D
0.20993,116.78211,333.29,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.6,12.66,D
0.2134,116.7816,346.5,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.95,6.67,D
0.21745,116.78488,335.09,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,302.21,6.67,D
0.22496,116.78761,341.12,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,303.95,6.71,D
0.22554,116.79141,332.96,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,303.94,6.71,D
0.24399,116.77308,335.39,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.09,9.74,D
0.27343,116.80358,330.53,0.42,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,303.87,4.65,D
0.28382,117.37447,335.41,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.97,3.19,D
0.29185,116.56237,330.44,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.19,6.73,D
0.29889,116.76907,330.58,0.43,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.13,2.28,D
0.31903,116.73879,367.0,0.43,0.38,2026-09-25,533,N20,VIIRS,h,2.0NRT,299.26,19.86,D
0.34476,117.54589,336.42,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.13,7.5,D
0.34684,116.80447,337.57,0.42,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,304.01,7.46,D
0.34741,116.80826,348.61,0.42,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,306.41,14.26,D
0.34939,117.50848,345.18,0.4,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,306.39,18.87,D
0.35087,116.80772,354.84,0.42,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,302.5,14.26,D
0.35256,116.4621,342.35,0.44,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,296.82,6.81,D
0.35276,117.50796,339.26,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.29,5.89,D
0.40881,116.14573,331.72,0.45,0.39,2026-09-25,533,N20,VIIRS,n,2.0NRT,297.02,2.77,D
0.43022,117.52925,348.11,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.64,20.61,D
0.43269,116.79533,331.76,0.42,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.97,12.53,D
0.43304,117.52515,353.59,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.5,20.61,D
0.4497,119.90181,334.68,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.48,2.97,D
0.45436,117.52921,335.36,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,300.5,4.04,D
0.49468,110.81178,339.17,0.32,0.55,2026-09-25,533,N20,VIIRS,n,2.0NRT,289.52,3.32,D
0.50337,116.64114,341.21,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,302.56,38.55,D
0.52622,117.47025,330.11,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,300.04,2.67,D
0.5534,117.57971,338.19,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,302.46,9.87,D
0.56349,117.57822,333.04,0.4,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.79,2.19,D
0.56686,117.57773,330.3,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,302.57,3.36,D
0.56741,117.5813,334.02,0.4,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.51,3.36,D
0.57145,117.4046,333.5,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,296.87,4.86,D
0.57201,117.40823,347.75,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.87,71.69,D
0.59694,116.5448,347.15,0.43,0.38,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.91,8.47,D
0.60391,116.54375,339.93,0.43,0.38,2026-09-25,533,N20,VIIRS,l,2.0NRT,297.81,6.19,D
0.68936,117.55543,335.92,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,304.37,11.34,D
0.74615,117.08011,331.19,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.56,5.75,D
0.76483,117.75814,336.02,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,304.5,6.52,D
0.77156,116.99279,331.73,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,297.49,5.81,D
0.7751,117.08702,346.55,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,301.84,11.7,D
0.7756,117.08645,345.46,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,302.06,12.42,D
0.78576,116.90308,332.61,0.42,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.07,3.57,D
0.79207,111.42378,329.79,0.58,0.52,2026-09-25,533,N20,VIIRS,n,2.0NRT,292.33,5.01,D
0.79662,117.04182,330.71,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.56,1.5,D
0.79844,110.7224,339.11,0.32,0.55,2026-09-25,533,N20,VIIRS,n,2.0NRT,289.7,2.78,D
0.80912,117.94136,342.97,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,301.5,15.14,D
0.81383,110.81944,346.26,0.32,0.54,2026-09-25,533,N20,VIIRS,n,2.0NRT,290.13,3.91,D
0.82467,117.61839,331.56,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,304.98,7.09,D
0.82932,117.58123,335.77,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.63,16.09,D
0.83293,117.09653,332.93,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.61,9.14,D
0.83349,117.1002,338.25,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,303.28,26.6,D
0.84442,111.19011,333.95,0.6,0.53,2026-09-25,533,N20,VIIRS,n,2.0NRT,289.92,11.38,D
0.84448,116.98917,333.27,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.6,3.06,D
0.84735,111.18755,346.05,0.6,0.53,2026-09-25,533,N20,VIIRS,n,2.0NRT,289.12,7.97,D
0.88227,111.34417,332.84,0.59,0.52,2026-09-25,533,N20,VIIRS,n,2.0NRT,293.06,15.39,D
0.88275,117.05493,338.75,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,303.54,6.63,D
0.8831,111.34934,341.74,0.58,0.52,2026-09-25,533,N20,VIIRS,n,2.0NRT,293.38,15.39,D
0.90091,116.9917,332.48,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,299.59,2.16,D
0.91722,117.18781,337.31,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,301.53,4.77,D
0.92628,117.179,340.92,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,300.89,4.68,D
0.95172,117.18632,331.38,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.64,4.51,D
0.95881,117.07345,335.54,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,300.28,2.99,D
0.95906,117.18893,330.41,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,304.89,10.75,D
0.95912,117.16666,330.59,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.39,3.28,D
0.96012,117.21851,336.26,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,304.27,24.02,D
0.96067,117.22214,336.76,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.4,10.0,D
0.96889,117.11674,338.94,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.8,7.25,D
0.96944,117.12038,332.84,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.97,7.25,D
0.97506,117.13441,332.87,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.0,3.61,D
1.01674,117.12815,340.77,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,304.71,7.43,D
1.03086,117.15208,334.33,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,303.29,3.5,D
1.03481,117.15521,331.41,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,304.18,3.5,D
1.03877,117.15834,331.02,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,302.95,4.14,D
1.03889,117.09132,331.53,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.08,1.11,D
1.06864,117.19473,345.78,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,300.92,12.37,D
1.08348,117.15554,330.34,0.41,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.03,2.42,D
1.155,118.71468,340.92,0.38,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.41,5.1,D
1.17595,117.76227,335.88,0.39,0.36,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.1,8.28,D
1.21756,117.1871,334.28,0.41,0.37,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.9,4.62,D
1.33761,118.44354,338.59,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,299.9,6.83,D
1.37532,117.22836,332.19,0.4,0.37,2026-09-25,533,N20,VIIRS,l,2.0NRT,301.44,6.37,D
1.408,118.19286,331.37,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,297.66,3.77,D
1.41328,118.22738,333.28,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.73,2.84,D
1.41659,118.22688,331.97,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.76,2.84,D
1.41674,118.20567,335.94,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,297.99,15.88,D
